Clauses: 500, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 58.88, Score per Kfold: [57.734806629834253, 59.576427255985266, 59.714548802946588, 58.20276497695852, 58.20276497695852, 58.137390502535737, 60.995850622406643, 60.119870908252651, 58.598432457353624, 57.53803596127247]
Clauses: 1000, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 62.39, Score per Kfold: [61.648250460405151, 62.523020257826886, 62.338858195211785, 63.502304147465438, 62.304147465437786, 61.733517750115261, 63.900414937759329, 62.102351313969571, 61.964038727524205, 61.871830336560627]
Clauses: 2000, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 63.44, Score per Kfold: [63.30570902394107, 63.627992633517493, 63.397790055248613, 64.331797235023032, 63.548387096774192, 63.393268787459654, 62.932226832641767, 62.332872291378514, 63.669893960350386, 63.900414937759329]
Clauses: 6000, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 63.66, Score per Kfold: [63.443830570902392, 63.489871086556171, 63.121546961325969, 63.364055299539167, 64.377880184331786, 62.793914246196401, 63.715998155832175, 62.747810050714612, 64.591977869986167, 64.914707238358687]
Clauses: 12000, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 64.59, Score per Kfold: [64.963167587476974, 64.963167587476974, 64.41068139963167, 63.87096774193548, 65.207373271889395, 62.793914246196401, 65.099124020285842, 63.623789764868597, 65.237436606731208, 65.744582757030884]
Clauses: 12000, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 66.31, Score per Kfold: [66.666666666666657, 66.298342541436455, 65.653775322283607, 68.617511520737324, 66.912442396313367, 66.620562471184869, 66.251728907330559, 64.960811433840476, 66.343937298294136, 64.82249884739511]
Clauses: 10, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 31.24, Score per Kfold: [30.25, 31.17, 30.39, 32.08, 31.76, 32.19, 31.72, 31.49, 31.63, 29.74]
Clauses: 12000, Treshold: 80, S: 27, Epochs: 10, Mean accuracy: 65.65, Score per Kfold: [64.51, 65.43, 66.76, 65.21, 65.63, 66.35, 65.93, 65.52, 65.24, 65.93]
Clauses: 12000, Treshold: 20, S: 27, Epochs: 10, Mean accuracy: 65.78, Score per Kfold: [66.26, 65.89, 66.26, 65.77, 65.21, 64.97, 65.89, 67.22, 64.64, 65.7]
Clauses: 12000, Treshold: 50, S: 27, Epochs: 10, Mean accuracy: 66.07, Score per Kfold: [65.98, 66.07, 65.66, 67.33, 66.09, 65.52, 67.32, 65.57, 66.76, 64.41]
Clauses: 12000, Treshold: 200, S: 27, Epochs: 10, Mean accuracy: 63.21, Score per Kfold: [63.26, 62.3, 62.67, 63.09, 64.38, 62.38, 63.08, 63.44, 63.03, 64.5]
Clauses: 12000, Treshold: 400, S: 27, Epochs: 10, Mean accuracy: 64.17, Score per Kfold: [64.37, 64.0, 64.09, 64.84, 64.52, 64.09, 63.91, 63.95, 63.77, 64.14]
Clauses: 12000, Treshold: 800, S: 27, Epochs: 10, Mean accuracy: 63.29, Score per Kfold: [62.57, 63.13, 62.85, 64.71, 63.14, 62.94, 64.5, 63.08, 63.63, 62.34]
