Clauses: 4000, Treshold: 8000, S: 15, Epochs: 10, Mean accuracy: 63.92, Score per Kfold: [59.02, 62.59, 66.12, 64.18, 64.02, 62.78, 60.35, 67.35, 68.2, 64.56]
Clauses: 4000, Treshold: 8000, S: 15, Epochs: 10, Mean accuracy: 65.41, Score per Kfold: [68.33, 63.61, 65.54, 64.16, 68.1, 63.7, 66.27, 60.41, 67.42, 66.52]
Clauses: 4000, Treshold: 8000, S: 15, Epochs: 10, Mean accuracy: 63.77, Score per Kfold: [61.3, 62.2, 67.27, 66.49, 66.93, 64.94, 65.12, 62.62, 57.67, 63.18]
Clauses: 4000, Treshold: 8000, S: 2, Epochs: 10, Mean accuracy: 39.91, Score per Kfold: [17.26, 50.25, 19.82, 28.78, 71.05, 30.14, 48.09, 17.98, 53.75, 62.0]
Clauses: 4000, Treshold: 8000, S: 8, Epochs: 10, Mean accuracy: 62.62, Score per Kfold: [62.25, 60.27, 66.3, 67.16, 61.93, 65.59, 59.71, 62.23, 55.55, 65.25]
Clauses: 4000, Treshold: 8000, S: 18, Epochs: 10, Mean accuracy: 62.42, Score per Kfold: [63.91, 59.48, 67.92, 62.87, 64.39, 56.97, 59.54, 57.74, 66.31, 65.07]
Clauses: 4000, Treshold: 8000, S: 27, Epochs: 10, Mean accuracy: 63.88, Score per Kfold: [62.8, 64.32, 66.44, 62.76, 65.96, 61.79, 64.73, 60.89, 65.5, 63.59]
Clauses: 4000, Treshold: 8000, S: 35, Epochs: 10, Mean accuracy: 66.16, Score per Kfold: [66.58, 66.95, 66.19, 66.21, 69.04, 66.86, 64.73, 61.29, 65.92, 67.81]
Clauses: 4000, Treshold: 8000, S: 235, Epochs: 10, Mean accuracy: 62.04, Score per Kfold: [62.0, 62.99, 63.95, 57.66, 66.0, 65.29, 60.17, 61.77, 57.37, 63.15]
Clauses: 4000, Treshold: 8000, S: 35, Epochs: 10, Mean accuracy: 65.12, Score per Kfold: [62.11, 63.98, 62.46, 66.03, 65.06, 64.25, 66.99, 62.85, 68.89, 68.59]
Clauses: 4000, Treshold: 8000, S: 34.5, Epochs: 10, Mean accuracy: 64.9, Score per Kfold: [63.84, 63.45, 63.88, 66.83, 64.55, 66.05, 62.56, 63.82, 68.55, 65.43]
Clauses: 4000, Treshold: 8000, S: 35.5, Epochs: 10, Mean accuracy: 65.45, Score per Kfold: [65.36, 67.55, 65.24, 62.94, 67.09, 66.88, 65.47, 61.26, 65.25, 67.42]
Clauses: 4000, Treshold: 8000, S: 30, Epochs: 10, Mean accuracy: 64.85, Score per Kfold: [62.06, 65.82, 66.37, 64.62, 62.69, 64.9, 64.2, 67.16, 64.88, 65.8]
Clauses: 4000, Treshold: 8000, S: 33, Epochs: 10, Mean accuracy: 65.12, Score per Kfold: [65.06, 63.42, 68.79, 63.91, 66.19, 65.7, 64.77, 65.2, 64.9, 63.25]
Clauses: 4000, Treshold: 8000, S: 37, Epochs: 10, Mean accuracy: 65.49, Score per Kfold: [65.45, 64.69, 66.21, 65.68, 68.54, 64.76, 61.99, 63.15, 69.15, 65.32]
Clauses: 4000, Treshold: 8000, S: 38, Epochs: 10, Mean accuracy: 65.18, Score per Kfold: [64.81, 63.4, 66.49, 64.71, 62.92, 66.19, 67.52, 64.4, 64.61, 66.73]
Clauses: 2000, Treshold: 8000, S: 37, Epochs: 500, Mean accuracy: 63.74, Score per Kfold: [61.7, 63.88, 62.66, 66.33, 61.93, 60.11, 65.37, 68.25, 63.06, 64.1]
