Clauses: 15000, Treshold: 25000, S: 15, Epochs: 500, Mean accuracy: 71.02, Score per Kfold: [71.26, 70.72, 71.2, 72.12, 70.81, 71.05, 71.04, 71.41, 69.43, 71.12]
Clauses: 15000, Treshold: 28000, S: 15, Epochs: 500, Mean accuracy: 71.28, Score per Kfold: [71.52, 71.6, 72.31, 72.38, 71.3, 70.25, 71.44, 71.72, 69.43, 70.9]
Clauses: 15000, Treshold: 30000, S: 15, Epochs: 500, Mean accuracy: 71.15, Score per Kfold: [71.04, 71.03, 71.07, 71.76, 72.19, 71.09, 71.4, 71.28, 70.32, 70.37]
Clauses: 15000, Treshold: 40000, S: 15, Epochs: 500, Mean accuracy: 71.22, Score per Kfold: [70.95, 72.14, 71.42, 71.5, 71.52, 70.69, 71.17, 71.1, 69.92, 71.74]
Clauses: 15000, Treshold: 28000, S: 2, Epochs: 500, Mean accuracy: 67.8, Score per Kfold: [68.2, 68.9, 68.94, 67.38, 68.56, 67.28, 67.28, 68.18, 66.55, 66.78]
Clauses: 15000, Treshold: 28000, S: 5, Epochs: 500, Mean accuracy: 70.65, Score per Kfold: [70.99, 71.25, 71.16, 71.67, 70.37, 70.25, 71.31, 71.1, 68.46, 69.97]
Clauses: 15000, Treshold: 28000, S: 15, Epochs: 500, Mean accuracy: 71.05, Score per Kfold: [71.04, 72.05, 71.24, 72.34, 70.95, 70.65, 70.2, 71.24, 70.23, 70.59]
Clauses: 15000, Treshold: 28000, S: 20, Epochs: 500, Mean accuracy: 70.91, Score per Kfold: [70.68, 71.87, 70.93, 72.21, 70.2, 70.12, 71.31, 70.84, 71.07, 69.84]
Clauses: 15000, Treshold: 28000, S: 30, Epochs: 500, Mean accuracy: 70.22, Score per Kfold: [70.55, 69.52, 70.14, 71.72, 69.97, 70.43, 71.26, 69.24, 69.08, 70.32]
Clauses: 15000, Treshold: 28000, S: 40, Epochs: 500, Mean accuracy: 70.24, Score per Kfold: [70.06, 71.29, 70.76, 71.41, 70.2, 69.94, 69.36, 69.77, 69.12, 70.5]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 65.41, Score per Kfold: [64.31, 64.65, 65.8, 65.74, 65.46, 65.37, 66.21, 65.56, 65.05, 65.93]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 64.95, Score per Kfold: [64.0, 67.0, 64.92, 65.34, 64.0, 64.0, 65.46, 64.5, 63.85, 66.42]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 65.07, Score per Kfold: [64.0, 64.52, 65.14, 64.72, 65.68, 65.19, 65.77, 65.12, 64.87, 65.67]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 65.55, Score per Kfold: [65.91, 65.8, 65.85, 65.26, 65.2, 65.37, 66.04, 66.18, 64.78, 65.13]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 65.17, Score per Kfold: [64.09, 66.33, 64.25, 65.43, 64.89, 65.33, 65.95, 64.72, 64.12, 66.6]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 64.86, Score per Kfold: [64.98, 65.14, 65.62, 65.92, 64.0, 64.35, 64.4, 65.08, 64.25, 64.82]
Clauses: 100, Treshold: 100, S: 15, Epochs: 500, Mean accuracy: 65.1, Score per Kfold: [64.62, 65.4, 64.92, 65.08, 65.11, 65.28, 65.11, 65.7, 64.43, 65.31]
Clauses: 100, Treshold: 40000, S: 15, Epochs: 30, Mean accuracy: 64.18, Score per Kfold: [63.61, 63.5, 63.77, 65.3, 64.0, 64.57, 64.27, 64.59, 63.36, 64.87]

