Clauses: 13000, Treshold: 12000, S: 20, Epochs: 500, Mean accuracy: 68.77, Score per Kfold: [69.49, 66.43, 68.66, 67.83, 69.48, 69.74, 69.73, 68.08, 70.0, 68.25]
Clauses: 13000, Treshold: 12000, S: 20, Epochs: 500, Mean accuracy: 68.69, Score per Kfold: [69.76, 67.42, 68.87, 67.05, 68.3, 68.9, 70.1, 69.23, 68.93, 68.33]
Clauses: 13000, Treshold: 12000, S: 20, Epochs: 500, Mean accuracy: 68.79, Score per Kfold: [69.62, 67.99, 69.33, 67.51, 68.49, 69.37, 70.91, 68.6, 69.25, 66.82]
Clauses: 13000, Treshold: 12000, S: 20, Epochs: 500, Mean accuracy: 68.87, Score per Kfold: [70.02, 66.97, 69.49, 67.86, 68.03, 69.26, 70.24, 69.5, 69.17, 68.14]
Clauses: 13000, Treshold: 5000, S: 20, Epochs: 500, Mean accuracy: 67.91, Score per Kfold: [69.28, 67.18, 67.22, 65.57, 68.86, 68.5, 69.0, 67.56, 69.06, 66.9]
Clauses: 13000, Treshold: 22000, S: 20, Epochs: 500, Mean accuracy: 69.22, Score per Kfold: [71.01, 66.75, 68.9, 69.26, 68.7, 69.5, 70.13, 68.95, 69.95, 69.01]
Clauses: 13000, Treshold: 12000, S: 20, Epochs: 500, Mean accuracy: 68.84, Score per Kfold: [69.7, 67.18, 69.11, 68.23, 68.94, 69.28, 69.62, 68.6, 69.36, 68.36]
Clauses: 13000, Treshold: 5000, S: 20, Epochs: 500, Mean accuracy: 67.88, Score per Kfold: [68.02, 63.21, 67.99, 68.29, 68.25, 68.52, 69.57, 69.09, 68.58, 67.3]
Clauses: 13000, Treshold: 22000, S: 20, Epochs: 500, Mean accuracy: 69.24, Score per Kfold: [70.53, 67.42, 69.7, 69.45, 69.21, 68.99, 70.18, 68.71, 69.25, 68.93]
Clauses: 13000, Treshold: 22000, S: 20, Epochs: 500, Mean accuracy: 69.26, Score per Kfold: [70.58, 67.61, 69.62, 68.91, 69.4, 69.83, 69.97, 68.52, 70.43, 67.76]
Clauses: 13000, Treshold: 40000, S: 20, Epochs: 500, Mean accuracy: 69.18, Score per Kfold: [70.32, 68.01, 69.51, 68.34, 68.65, 69.09, 69.94, 69.17, 69.92, 68.84]
Clauses: 13000, Treshold: 60000, S: 20, Epochs: 500, Mean accuracy: 69.43, Score per Kfold: [70.64, 68.23, 69.54, 69.61, 69.1, 68.96, 70.66, 68.95, 70.4, 68.17]
Clauses: 13000, Treshold: 60000, S: 20, Epochs: 500, Mean accuracy: 69.29, Score per Kfold: [70.4, 67.61, 69.06, 68.99, 68.27, 69.55, 70.34, 69.31, 70.4, 69.01]
Clauses: 13000, Treshold: 80000, S: 20, Epochs: 500, Mean accuracy: 69.52, Score per Kfold: [70.96, 68.18, 68.58, 69.29, 69.72, 69.23, 70.74, 68.76, 70.48, 69.28]
Clauses: 13000, Treshold: 100000, S: 20, Epochs: 500, Mean accuracy: 69.39, Score per Kfold: [70.88, 68.28, 69.19, 68.72, 69.26, 69.18, 70.4, 69.06, 70.4, 68.55]
Clauses: 2500, Treshold: 80000, S: 20, Epochs: 500, Mean accuracy: 68.6, Score per Kfold: [69.3, 67.8, 68.93, 67.91, 68.11, 68.85, 68.71, 68.79, 69.41, 68.22]
Clauses: 13000, Treshold: 80000, S: 20, Epochs: 500, Mean accuracy: 69.23, Score per Kfold: [70.0, 67.64, 69.33, 68.77, 69.21, 69.26, 69.86, 69.14, 70.19, 68.9]
Clauses: 24000, Treshold: 80000, S: 20, Epochs: 500, Mean accuracy: 69.33, Score per Kfold: [71.54, 67.05, 68.68, 68.83, 69.43, 69.61, 70.21, 68.87, 70.24, 68.84]
