
Dataset: EndToEight, Clauses: 20000, Treshold: 40000, S: 9, Epochs: 500, Mean accuracy: 62.98, Score per Kfold: [63.26, 63.26, 62.74, 63.06, 62.85, 62.24, 63.31, 63.23, 63.21, 62.59]
Win precision avg and list: 0.54 [0.52, 0.6, 0.56, 0.51, 0.54, 0.53, 0.53, 0.53, 0.58, 0.48]
Win recalls avg and list: 0.26 [0.27, 0.23, 0.21, 0.26, 0.23, 0.19, 0.27, 0.29, 0.25, 0.35]
Win FScores avg and list: 0.34 [0.36, 0.33, 0.31, 0.34, 0.33, 0.28, 0.36, 0.37, 0.35, 0.4]
Loss precision avg and list: 0.58 [0.63, 0.56, 0.61, 0.57, 0.53, 0.6, 0.55, 0.55, 0.61, 0.56]
Loss recalls avg and list: 0.32 [0.25, 0.33, 0.24, 0.38, 0.38, 0.24, 0.36, 0.39, 0.27, 0.39]
Loss FScores avg and list: 0.41 [0.36, 0.41, 0.34, 0.45, 0.44, 0.35, 0.44, 0.46, 0.38, 0.46]
Draw precision avg and list: 0.65 [0.65, 0.65, 0.63, 0.66, 0.66, 0.63, 0.66, 0.67, 0.64, 0.67]
Draw recalls avg and list: 0.87 [0.9, 0.88, 0.91, 0.85, 0.85, 0.91, 0.85, 0.83, 0.9, 0.81]
Draw FScores avg and list: 0.75 [0.75, 0.75, 0.75, 0.74, 0.74, 0.75, 0.75, 0.74, 0.75, 0.73]


Dataset: EndToEight, Clauses: 15000, Treshold: 160000, S: 68, Epochs: 500, Mean accuracy: 63.38, Score per Kfold: [63.64, 63.27, 63.11, 63.42, 63.09, 63.14, 63.76, 63.33, 63.91, 63.11]
Win precision avg and list: 0.54 [0.52, 0.6, 0.56, 0.51, 0.54, 0.53, 0.53, 0.53, 0.58, 0.48, 0.54, 0.56, 0.53, 0.56, 0.54, 0.52, 0.57, 0.57, 0.56, 0.56]
Win recalls avg and list: 0.23 [0.27, 0.23, 0.21, 0.26, 0.23, 0.19, 0.27, 0.29, 0.25, 0.35, 0.2, 0.26, 0.24, 0.18, 0.2, 0.2, 0.2, 0.19, 0.2, 0.17]
Win FScores avg and list: 0.32 [0.36, 0.33, 0.31, 0.34, 0.33, 0.28, 0.36, 0.37, 0.35, 0.4, 0.29, 0.35, 0.33, 0.27, 0.3, 0.28, 0.29, 0.29, 0.3, 0.26]
Loss precision avg and list: 0.58 [0.63, 0.56, 0.61, 0.57, 0.53, 0.6, 0.55, 0.55, 0.61, 0.56, 0.6, 0.55, 0.57, 0.59, 0.54, 0.6, 0.57, 0.57, 0.6, 0.58]
Loss recalls avg and list: 0.32 [0.25, 0.33, 0.24, 0.38, 0.38, 0.24, 0.36, 0.39, 0.27, 0.39, 0.32, 0.32, 0.32, 0.32, 0.33, 0.32, 0.31, 0.32, 0.35, 0.33]
Loss FScores avg and list: 0.41 [0.36, 0.41, 0.34, 0.45, 0.44, 0.35, 0.44, 0.46, 0.38, 0.46, 0.42, 0.4, 0.41, 0.41, 0.41, 0.42, 0.41, 0.41, 0.44, 0.42]
Draw precision avg and list: 0.65 [0.65, 0.65, 0.63, 0.66, 0.66, 0.63, 0.66, 0.67, 0.64, 0.67, 0.65, 0.66, 0.65, 0.65, 0.66, 0.65, 0.65, 0.65, 0.65, 0.64]
Draw recalls avg and list: 0.88 [0.9, 0.88, 0.91, 0.85, 0.85, 0.91, 0.85, 0.83, 0.9, 0.81, 0.9, 0.88, 0.87, 0.9, 0.89, 0.89, 0.9, 0.89, 0.89, 0.9]
Draw FScores avg and list: 0.75 [0.75, 0.75, 0.75, 0.74, 0.74, 0.75, 0.75, 0.74, 0.75, 0.73, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.76, 0.75, 0.75, 0.75]

