Clauses: 15000, Treshold: 12000, S: 15, Epochs: 500, Mean accuracy: 49.83, Score per Kfold: [50.14, 43.7, 54.15, 47.38, 45.17, 48.74, 56.67, 53.53, 50.49, 48.32]
Clauses: 15000, Treshold: 12000, S: 15, Epochs: 500, Mean accuracy: 63.5, Score per Kfold: [63.54, 63.68, 63.4, 64.48, 63.55, 63.08, 63.26, 62.57, 63.49, 63.95]
Clauses: 5000, Treshold: 12000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.03, Score per Kfold: [62.94, 61.88, 63.36, 64.89, 62.72, 63.12, 62.52, 62.43, 63.4, 63.03]
Clauses: 8000, Treshold: 12000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.04, Score per Kfold: [63.17, 61.15, 62.94, 65.49, 62.82, 63.12, 62.61, 62.11, 63.54, 63.4]
Clauses: 15000, Treshold: 12000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.19, Score per Kfold: [63.13, 63.31, 62.8, 64.8, 62.77, 62.43, 63.08, 62.43, 63.44, 63.72]
Clauses: 25000, Treshold: 12000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 62.79, Score per Kfold: [63.17, 62.94, 63.31, 64.61, 62.63, 63.63, 63.35, 61.19, 62.48, 60.59]
Clauses: 15000, Treshold: 5000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 62.67, Score per Kfold: [62.8, 62.85, 63.91, 65.49, 58.35, 63.44, 61.51, 62.02, 62.98, 63.4]
Clauses: 15000, Treshold: 12000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.18, Score per Kfold: [63.26, 63.49, 63.26, 64.84, 63.18, 62.71, 63.12, 61.32, 63.54, 63.12]
Clauses: 15000, Treshold: 20000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 62.98, Score per Kfold: [63.4, 61.05, 62.76, 64.52, 63.14, 62.94, 62.89, 62.57, 63.54, 62.94]
Clauses: 15000, Treshold: 30000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.27, Score per Kfold: [63.54, 62.71, 63.22, 64.89, 63.42, 63.26, 62.61, 62.29, 63.03, 63.72]
Clauses: 15000, Treshold: 50000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 62.91, Score per Kfold: [63.4, 62.57, 62.85, 63.65, 62.63, 63.67, 62.85, 62.34, 63.12, 62.06]
Clauses: 15000, Treshold: 30000, S: 2, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 61.31, Score per Kfold: [61.24, 61.47, 61.38, 60.88, 61.11, 61.37, 61.55, 61.46, 61.32, 61.28]
Clauses: 15000, Treshold: 30000, S: 6, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 62.86, Score per Kfold: [62.25, 63.26, 62.3, 63.28, 63.69, 63.54, 62.29, 62.34, 62.8, 62.85]
Clauses: 15000, Treshold: 30000, S: 15, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 62.76, Score per Kfold: [63.36, 61.15, 63.22, 64.61, 63.74, 63.12, 62.61, 62.11, 63.35, 60.36]
Clauses: 15000, Treshold: 30000, S: 20, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.0, Score per Kfold: [63.77, 63.17, 62.76, 65.03, 63.23, 63.21, 62.2, 62.38, 63.44, 60.77]
Clauses: 15000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.34, Score per Kfold: [63.22, 63.36, 62.99, 64.66, 63.0, 63.49, 63.26, 62.57, 63.17, 63.63]
Clauses: 15000, Treshold: 30000, S: 40, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.34, Score per Kfold: [63.22, 63.31, 63.31, 64.52, 63.05, 63.4, 63.17, 62.34, 63.77, 63.35]
Clauses: 15000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.15, Score per Kfold: [63.54, 62.3, 63.03, 64.8, 62.36, 63.49, 62.89, 62.2, 63.49, 63.44]
Clauses: 15000, Treshold: 30000, S: 33, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.22, Score per Kfold: [63.45, 63.26, 63.26, 64.66, 62.31, 63.12, 63.17, 62.15, 63.49, 63.31]
Clauses: 15000, Treshold: 30000, S: 35, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.09, Score per Kfold: [62.99, 63.03, 63.17, 64.2, 62.59, 63.03, 63.12, 62.48, 63.63, 62.61]
Clauses: 15000, Treshold: 30000, S: 38, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.22, Score per Kfold: [62.8, 63.31, 63.08, 64.52, 63.28, 63.12, 63.12, 62.06, 63.44, 63.49]
Clauses: 15000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.18, Score per Kfold: [63.45, 62.85, 63.08, 64.29, 63.32, 63.44, 62.89, 62.29, 62.98, 63.21]
Clauses: 10000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.21, Score per Kfold: [63.17, 62.9, 63.22, 64.61, 63.0, 63.12, 63.03, 62.29, 63.58, 63.17]
Clauses: 10000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.21, Score per Kfold: [63.63, 62.44, 63.45, 64.11, 63.28, 63.31, 63.08, 62.66, 63.31, 62.8]
Clauses: 11000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.21, Score per Kfold: [63.59, 63.26, 62.8, 64.29, 63.23, 62.89, 63.03, 62.38, 63.26, 63.35]
Clauses: 12000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.33, Score per Kfold: [63.63, 63.22, 63.36, 65.17, 63.09, 62.85, 63.44, 62.52, 63.44, 62.61]
Clauses: 15000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.23, Score per Kfold: [63.36, 63.22, 62.85, 64.84, 62.68, 63.44, 62.98, 62.57, 63.31, 63.03]
Clauses: 16000, Treshold: 30000, S: 30, Epochs: 500, Shape x: 4, Shape y: 8, Shape z: 4, Frame x: 2, Frame y: 2, Mean accuracy: 63.28, Score per Kfold: [63.03, 62.9, 63.17, 64.66, 63.32, 62.94, 63.35, 62.25, 63.58, 63.58]
